"lr","name","label","missingCode","justifyRight","format","mandatory","defaultValue","validateFunction"
"LR0001","stationNumber","Station identification number","","TRUE","I2","TRUE","82","genericValidateFunction"
"LR0001","month","Month of measurement","","TRUE","I2","TRUE","NULL","genericValidateFunction"
"LR0001","year","Year of measurement","","TRUE","I4","TRUE","NULL","genericValidateFunction"
"LR0001","version","Version of data","","TRUE","I2","TRUE","1","genericValidateFunction"
"LR0002","scientistChange","Is scientist changed this month ?","","FALSE","","TRUE","FALSE","genericValidateFunction"
"LR0002","scientistChangeDay","Day","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0002","scientistChangeHour","Hour","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0002","scientistChangeMinute","Minute","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0002","scientistName","Name *","","FALSE","A38","TRUE","NULL","genericValidateFunction"
"LR0002","scientistTel","Telephone no. *","","FALSE","A20","TRUE","NULL","genericValidateFunction"
"LR0002","scientistFax","Fax no. *","","FALSE","A20","TRUE","NULL","genericValidateFunction"
"LR0002","scientistTcpip","TCP/IP no.","XXX","FALSE","A15","FALSE","NULL","genericValidateFunction"
"LR0002","scientistMail","E-mail address","XXX","FALSE","A50","FALSE","NULL","genericValidateFunction"
"LR0002","scientistAddress","Address *","","FALSE","A80","TRUE","NULL","genericValidateFunction"
"LR0002","deputyChange","Is deputy changed this month ?","","FALSE","","TRUE","FALSE","genericValidateFunction"
"LR0002","deputyChangeDay","Day","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0002","deputyChangeHour","Hour","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0002","deputyChangeMinute","Minute","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0002","deputyName","Name *","","FALSE","A38","TRUE","NULL","genericValidateFunction"
"LR0002","deputyTel","Telephone no. *","","FALSE","A20","TRUE","NULL","genericValidateFunction"
"LR0002","deputyFax","Fax no. *","","FALSE","A20","TRUE","NULL","genericValidateFunction"
"LR0002","deputyTcpip","TCP/IP no.","XXX","FALSE","A15","FALSE","NULL","genericValidateFunction"
"LR0002","deputyMail","E-mail address","XXX","FALSE","A50","FALSE","NULL","genericValidateFunction"
"LR0002","deputyAddress","Address *","","FALSE","A80","TRUE","NULL","genericValidateFunction"
"LR0003","message","Messages not to be inserted in the BSRN database","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
"LR0004","stationDescChange","Is station description changed this month ?","","FALSE","","TRUE","FALSE","genericValidateFunction"
"LR0004","stationDescChangeDay","Day","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0004","stationDescChangeHour","Hour","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0004","stationDescChangeMinute","Minute","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0004","surfaceType","Surface type *","","TRUE","I2","TRUE","11","genericValidateFunction"
"LR0004","topographyType","Topography Type *","","TRUE","I2","TRUE","1","genericValidateFunction"
"LR0004","address","Address *","","FALSE","A80","TRUE","NULL","genericValidateFunction"
"LR0004","telephone","Telephone no. of station","XXX","FALSE","A20","FALSE","NULL","genericValidateFunction"
"LR0004","fax","Fax no. of station","XXX","FALSE","A20","FALSE","NULL","genericValidateFunction"
"LR0004","tcpip","TCP/IP no. of station","XXX","FALSE","A15","FALSE","NULL","genericValidateFunction"
"LR0004","mail","E-mail address of station","XXX","FALSE","A50","FALSE","NULL","genericValidateFunction"
"LR0004","latitude","Latitude * [degrees, 0 is Southpole, positive is northward]","","TRUE","F7.3","TRUE","NULL","genericValidateFunction"
"LR0004","longitude","Longitude * [degrees, 0 is 180W, positive is eastwards]","","TRUE","F7.3","TRUE","NULL","genericValidateFunction"
"LR0004","altitude","Altitude * [m above the sea]","","TRUE","I4","TRUE","NULL","genericValidateFunction"
"LR0004","synop","Identification od 'SYNOP' station","XXXXX","TRUE","A5","FALSE","NULL","genericValidateFunction"
"LR0004","horizonChange","Is horizon changed this month ?","","FALSE","","TRUE","FALSE","genericValidateFunction"
"LR0004","horizonChangeDay","Day","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0004","horizonChangeHour","Hour","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0004","horizonChangeMinute","Minute","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0004","azimuthElevation","Azimuth [degrees from north clockwise], Elevation [degrees]; format : A1-E1,A2-E2,...,An-En","-1","TRUE","","FALSE","NULL","genericValidateFunction"
"LR0005","change","Is radiosonde equipment changed this month ?","","FALSE","","TRUE","FALSE","genericValidateFunction"
"LR0005","changeDay","Day","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0005","changeHour","Hour","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0005","changeMinute","Minute","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0005","operating","Is radiosonde operating?","","FALSE","A1","TRUE","FALSE","genericValidateFunction"
"LR0005","manufacturer","Manufacturer","","FALSE","A30","TRUE","NULL","genericValidateFunction"
"LR0005","location","Location","","FALSE","A25","TRUE","NULL","genericValidateFunction"
"LR0005","distanceFromSite","Distance from radiation site [km]","","TRUE","I3","TRUE","NULL","genericValidateFunction"
"LR0005","time1stLaunch","Time of 1st launch [h UTC]","-1","TRUE","I2","FALSE","NULL","genericValidateFunction"
"LR0005","time2ndLaunch","Time of 2nd launch [h UTC]","-1","TRUE","I2","FALSE","NULL","genericValidateFunction"
"LR0005","time3rdLaunch","Time of 3rd launch [h UTC]","-1","TRUE","I2","FALSE","NULL","genericValidateFunction"
"LR0005","time4thLaunch","Time of 4th launch [h UTC]","-1","TRUE","I2","FALSE","NULL","genericValidateFunction"
"LR0005","identification","Identification of radiosonde","","TRUE","A5","TRUE","NULL","genericValidateFunction"
"LR0005","remarks","Remarks about radiosonde","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
"LR0006","change","Is ozone measurements equipment changed this month ?","","FALSE","","TRUE","FALSE","genericValidateFunction"
"LR0006","changeDay","Day","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0006","changeHour","Hour","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0006","changeMinute","Minute","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0006","operating","Is ozone measurements opérating ? ","","FALSE","A1","TRUE","FALSE","genericValidateFunction"
"LR0006","manufacturer","Manufacturer","","FALSE","A30","TRUE","NULL","genericValidateFunction"
"LR0006","location","Location","","FALSE","A25","TRUE","NULL","genericValidateFunction"
"LR0006","distanceFromSite","Distance from radiation site [km]","","TRUE","I3","TRUE","NULL","genericValidateFunction"
"LR0006","identification","Identification number of ozone instrument","","TRUE","A5","TRUE","NULL","genericValidateFunction"
"LR0006","remarks","Remarks about ozone measurements","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
"LR0007","change","Is station history changed this month ?","","FALSE","","TRUE","FALSE","genericValidateFunction"
"LR0007","changeDay","Day","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0007","changeHour","Hour","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0007","changeMinute","Minute","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0007","cloudAmount","Method est. cloud amount (digital proc.)","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
"LR0007","cloudBaseHeight","Method est. cloud base height (with instrument)","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
"LR0007","cloudLiquid","Method est. cloud liquid water content","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
"LR0007","cloudAerosol","Method est. cloud aerosol vertical distribution","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
"LR0007","waterVapour","Method est. water vapour press. v.d. (A80)","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
"LR0008","change","Is instruments changed this month ?","","FALSE","","TRUE","FALSE","genericValidateFunction"
"LR0008","changeDay","Day","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0008","changeHour","Hour","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0008","changeMinute","Minute","","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0008","operating","Is instrument measuring?","","FALSE","A1","TRUE","FALSE","genericValidateFunction"
"LR0008","radiationQuantityMeasured","Radiation quantity measured","","FALSE","I9","TRUE","2","genericValidateFunction"
"LR0008","manufacturer","Manufacturer","","FALSE","A30","TRUE","NULL","genericValidateFunction"
"LR0008","model","Model","","FALSE","A15","TRUE","NULL","genericValidateFunction"
"LR0008","serialNumber","Serial number","","FALSE","A18","TRUE","NULL","genericValidateFunction"
"LR0008","dateOfPurchase","Date of Purchase","XXX","FALSE","A8","FALSE","NULL","genericValidateFunction"
"LR0008","identification","Identification number assigned by the WRMC","","FALSE","I5","TRUE","NULL","genericValidateFunction"
"LR0008","remarks","Remarks about the radiation instrument","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
"LR0008","pyrgeometerBody","Pyrgeometer body compensation code","-1","FALSE","I2","FALSE","-1","genericValidateFunction"
"LR0008","pyrgeometerDome","Pyrgeometer dome compensation code","-1","FALSE","I2","FALSE","-1","genericValidateFunction"
"LR0008","numOfBand","Number of band (for spectral instruments)","-1","FALSE","I2","TRUE","-1","genericValidateFunction"
"LR0008","wavelenghBand1","Wavelength of band 1 of spectral i. [micron]","-1.000","FALSE","F7.3","FALSE","NULL","genericValidateFunction"
"LR0008","bandwidthBand1","Bandwidth of band 1 of spectral i. [micron]","-1.000","FALSE","F7.3","FALSE","NULL","genericValidateFunction"
"LR0008","wavelenghBand2","Wavelength of band 2","-1.000","FALSE","F7.3","FALSE","NULL","genericValidateFunction"
"LR0008","bandwidthBand2","Bandwidth of band 2","-1.000","FALSE","F7.3","FALSE","NULL","genericValidateFunction"
"LR0008","wavelenghBand3","Wavelength of band 3","-1.000","FALSE","F7.3","FALSE","NULL","genericValidateFunction"
"LR0008","bandwidthBand3","Bandwidth of band 3","-1.000","FALSE","F7.3","FALSE","NULL","genericValidateFunction"
"LR0008","maxZenithAngle","Max. zenith angle [degree] of direct","-1","FALSE","I2","FALSE","NULL","genericValidateFunction"
"LR0008","minSpectral","Min. (spectral) instrument","-1","FALSE","I2","FALSE","NULL","genericValidateFunction"
"LR0008","location","Location of calibration","","FALSE","A30","TRUE","NULL","genericValidateFunction"
"LR0008","person","Person doing calibration","","FALSE","A40","TRUE","NULL","genericValidateFunction"
"LR0008","startOfCalibPeriod1","Start of calibration period (band 1 of spectr. instr.)","","FALSE","A8","TRUE","NULL","genericValidateFunction"
"LR0008","endOfCalibPeriod1","End of ... (both [MM/DD/YY])","","FALSE","A8","TRUE","NULL","genericValidateFunction"
"LR0008","numOfComp1","Number of comparisons (band 1 of spectr. instr.)","-1","FALSE","I2","FALSE","NULL","genericValidateFunction"
"LR0008","meanCalibCoeff1","Mean calibration coefficient (band 1 of spectr. instr.)","","FALSE","F12.4","TRUE","NULL","genericValidateFunction"
"LR0008","stdErrorCalibCoeff1","Standard error of cal. coeff. (band 1 of spectr. instr.)","-1.000","FALSE","F12.4","FALSE","NULL","genericValidateFunction"
"LR0008","startOfCalibPeriod2","Start of calibration period (band 2 of spectr. instr.)","XXX","FALSE","A8","FALSE","NULL","genericValidateFunction"
"LR0008","endOfCalibPeriod2","End of ... (both [MM/DD/YY])","XXX","FALSE","A8","FALSE","NULL","genericValidateFunction"
"LR0008","numOfComp2","Number of comparisons (band 2 of spectr. instr.)","-1","FALSE","I2","FALSE","NULL","genericValidateFunction"
"LR0008","meanCalibCoeff2","Mean calibration coefficient (band 2 of spectr. instr.)","-1.000","FALSE","F12.4","FALSE","NULL","genericValidateFunction"
"LR0008","stdErrorCalibCoeff2","Standard error of cal. coeff. (band 2 of spectr. instr.)","-1.000","FALSE","F12.4","FALSE","NULL","genericValidateFunction"
"LR0008","startOfCalibPeriod3","Start of calibration period (band 3 of spectr. instr.)","XXX","FALSE","A8","FALSE","NULL","genericValidateFunction"
"LR0008","endOfCalibPeriod3","End of ... (both [MM/DD/YY])","XXX","FALSE","A8","FALSE","NULL","genericValidateFunction"
"LR0008","numOfComp3","Number of comparisons (band 3 of spectr. instr.)","-1","FALSE","I2","FALSE","NULL","genericValidateFunction"
"LR0008","meanCalibCoeff3","Mean calibration coefficient (band 3 of spectr. instr.)","-1.000","FALSE","F12.4","FALSE","NULL","genericValidateFunction"
"LR0008","stdErrorCalibCoeff3","Standard error of cal. coeff. (band 3 of spectr. instr.)","-1.000","FALSE","F12.4","FALSE","NULL","genericValidateFunction"
"LR0008","remarksOnCalib1","Remarks on calibration, e.g. units of cal. coeff.","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
"LR0008","remarksOnCalib2","Remarks on calibration (continued)","XXX","FALSE","A80","FALSE","NULL","genericValidateFunction"
